doc_id,sec_code,period_end,category_key,category_en,category_custom,headcount,total_yen,avg_per_head_yen,fixed_yen,base_yen,performance_yen,bonus_yen,non_monetary_yen,retirement_yen,other_components_yen,other_components,components_reconcile
S100YTAV,8030,2025-03-31,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,1.0,13440000.0,13440000,13440000.0,,,,,,,,1
S100YTAV,8030,2025-03-31,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,7.0,46800000.0,6685714,46800000.0,,,,,,,,1
S100YTB5,8030,2026-03-31,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,6.0,153720000.0,25620000,139200000.0,,,14520000.0,,,,,1
S100YTB5,8030,2026-03-31,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,1.0,12000000.0,12000000,12000000.0,,,,,,,,1
S100YTB5,8030,2026-03-31,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,7.0,54000000.0,7714286,54000000.0,,,,,,,,1
S100YTBE,3823,2026-04-30,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,5.0,24900000000.0,4980000000,24900000000.0,,,,,,,,1
S100YTBE,3823,2026-04-30,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,1.0,1200000000.0,1200000000,1200000000.0,,,,,,,,1
S100YTBE,3823,2026-04-30,OutsideDirectorsMember,Outside directors,0,4.0,4408000000.0,1102000000,4408000000.0,,,,,,,,1
S100YTBE,3823,2026-04-30,OutsideCorporateAuditorsMember,Outside statutory auditors,0,2.0,3900000000.0,1950000000,3900000000.0,,,,,,,,1
S100YT5G,7875,2026-03-31,DirectorsExcludingAuditAndSupervisoryCommitteeMembersAndOutsideDirectorsMember,Directors excl. audit cttee (excl. outside),0,4.0,106000000.0,26500000,79000000.0,,16000000.0,,10000000.0,,,,1
S100YT5G,7875,2026-03-31,DirectorsAppointedAsAuditAndSupervisoryCommitteeMembersExcludingOutsideDirectorsMember,Audit-cttee directors (excl. outside),0,1.0,9000000.0,9000000,9000000.0,,,,,,,,1
S100YT5G,7875,2026-03-31,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,6.0,19000000.0,3166667,19000000.0,,,,,,,,1
S100YT7I,7133,2026-03-31,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,4.0,82000000.0,20500000,82000000.0,,,,,,,,1
S100YT7I,7133,2026-03-31,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,,,,,,,,,,,,
S100YT7I,7133,2026-03-31,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,6.0,16000000.0,2666667,16000000.0,,,,,,,,1
S100YTAR,6662,2025-06-30,DirectorsExcludingOutsideDirectorsMember,Directors (excl. outside),0,2.0,18306000.0,9153000,,18306000.0,,,,,,,1
S100YTAR,6662,2025-06-30,CorporateAuditorsExcludingOutsideCorporateAuditorsMember,Statutory auditors (excl. outside),0,2.0,5877000.0,2938500,,5877000.0,,,,,,,1
S100YTAR,6662,2025-06-30,OutsideDirectorsAndOtherOfficersMember,Outside directors and officers,0,5.0,9800000.0,1960000,,9800000.0,,,,,,,1
