doc_id,edinet_code,sec_code,listed,industry,company_ja,company_en,period_end,filing_date,representative,board_size,male_officers,female_officers,female_ratio_filed,female_ratio_calc,officers_tagged,officers_untagged,avg_age,avg_tenure,avg_salary_yen,female_managers_ratio,gender_pay_gap_all,male_childcare_leave,pay_total_yen,named_pay_count,status,detail
S100YI0F,E31977,3927,listed,情報・通信業,株式会社フーバーブレイン,Fuva Brain Limited,2026-03-31,2026-06-23,代表取締役社長 輿水 英行,8,7.0,1.0,0.125,0.125,8.0,0.0,45.5,6.6,7127000.0,,,,68410000.0,0,clean,
S100YI0I,E01686,9895,listed,卸売業,株式会社コンセック,CONSEC CORPORATION,2026-03-31,2026-06-23,代表取締役社長 福田 多喜二,9,7.0,2.0,0.222,0.2222,9.0,0.0,46.3,18.6,4922653.0,0.03,,,99855000.0,0,clean,
S100YI0L,E00146,1959,listed,建設業,株式会社クラフティア (旧会社名 株式会社九電工),KRAFTIA CORPORATION (旧英訳名 KYUDENKO CORPORATION) (注)2025年6月26日開催の第97期定時株主総会の決議により、 2025年10月1日から会社名を上記のように変更している。,2026-03-31,2026-06-23,代表取締役 社長執行役員 石 橋 和 幸,12,9.0,3.0,0.25,0.25,12.0,0.0,38.9,15.7,7620000.0,0.01,0.729,,393000000.0,0,clean,
S100YI1C,E02632,7459,listed,卸売業,株式会社メディパルホールディングス,MEDIPAL HOLDINGS CORPORATION,2026-03-31,2026-06-23,代表取締役社長 渡辺 秀一,17,14.0,3.0,0.176,0.1765,17.0,0.0,49.0,20.1,8216296.0,0.17,0.788,,394000000.0,0,clean,
S100YI1N,E05445,3787,listed,情報・通信業,株式会社テクノマセマティカル,"Techno Mathematical Co.,Ltd.",2026-03-31,2026-06-23,代表取締役社長 田中 正文,6,4.0,2.0,0.333,0.3333,6.0,0.0,52.0,13.8,5688000.0,,,,49800000.0,0,clean,
S100YI25,E01511,6158,listed,機械,株式会社和井田製作所,"WAIDA MFG.CO.,LTD.",2026-03-31,2026-06-23,代表取締役会長兼社長 和井田 光生,8,8.0,,,,,,42.7,16.0,6046000.0,,,,155908000.0,0,clean,
S100YI2K,E00095,1822,listed,建設業,大豊建設株式会社,DAIHO CORPORATION,2026-03-31,2026-06-23,代表取締役執行役員社長 益田 浩史,16,14.0,2.0,0.125,0.125,16.0,0.0,45.0,19.2,8199789.0,0.042,0.648,,242000000.0,0,clean,
S100YI2M,E00845,4228,listed,化学,積水化成品工業株式会社,"Sekisui Kasei Co., Ltd.",2026-03-31,2026-06-23,代表取締役社長 古林 育将,13,12.0,1.0,0.077,0.0769,13.0,0.0,46.0,19.4,7790000.0,0.066,0.739,,202000000.0,0,clean,
S100YI2T,E04236,9104,listed,海運業,株式会社 商船三井,"Mitsui O.S.K. Lines, Ltd.",2026-03-31,2026-06-23,代表取締役会長 橋本 剛,14,9.0,5.0,0.357,0.3571,14.0,0.0,38.4,12.9,16599254.0,0.104,0.687,,956000000.0,4,clean,
S100YI2V,E03746,8772,listed,その他金融業,株式会社アサックス,"ASAX CO., LTD.",2026-03-31,2026-06-23,代表取締役社長 草間 雄介,7,7.0,,,,,,35.9,12.2,8933023.0,,,,132950000.0,0,clean,
S100YI32,E35563,7096,listed,医薬品,株式会社ステムセル研究所,StemCell Institute Inc.,2026-03-31,2026-06-23,代表取締役社長 清水 崇文,7,5.0,2.0,0.28,0.2857,7.0,0.0,37.1,5.2,5129000.0,,,,75749000.0,0,clean,
S100YI3S,E02802,7433,listed,卸売業,伯東株式会社,"Hakuto Co.,Ltd.",2026-03-31,2026-06-23,代表取締役社長執行役員 宮下 環,13,12.0,1.0,0.076,0.0769,13.0,0.0,43.86,13.82,9675485.0,0.11,0.684,,251000000.0,0,clean,
S100YI4C,E40206,288A,listed,サービス業,ラクサス・テクノロジーズ株式会社,Laxus Technologies Inc.,2026-03-31,2026-06-23,代表取締役社長執行役員 高橋 啓介,8,5.0,3.0,0.375,0.375,8.0,0.0,39.6,5.3,4882928.0,0.357,0.492,,70099000.0,0,clean,
S100YI4K,E01661,6330,listed,建設業,東洋エンジニアリング株式会社,TOYO ENGINEERING CORPORATION,2026-03-31,2026-06-23,取締役社長 細 井 栄 治,13,11.0,2.0,0.1538,0.1538,13.0,0.0,42.4,15.3,9202714.0,0.056,0.73,,239000000.0,0,clean,
S100YI66,E02802,7433,listed,卸売業,伯東株式会社,"Hakuto Co.,Ltd.",2021-03-31,2021-06-24,代表取締役社長執行役員 阿部 良二,13,13.0,,,,,,43.47,13.76,6843605.0,,,,201000000.0,0,clean,
S100YI6D,E26966,3280,listed,不動産業,株式会社エストラスト,"STrust Co.,Ltd.",2026-02-28,2026-05-27,代表取締役社長 藤田 尚久,9,8.0,1.0,0.111,0.1111,9.0,0.0,41.1,7.3,5349000.0,0.1,,,95000000.0,0,clean,
S100YI6R,E02802,7433,listed,卸売業,伯東株式会社,"Hakuto Co.,Ltd.",2022-03-31,2022-06-24,代表取締役社長執行役員 阿部 良二,13,12.0,1.0,0.076,0.0769,13.0,0.0,43.96,14.07,7676934.0,,,,266000000.0,0,clean,
S100YI6W,E02802,7433,listed,卸売業,伯東株式会社,"Hakuto Co.,Ltd.",2023-03-31,2023-06-27,代表取締役社長執行役員 阿部 良二,13,12.0,1.0,0.077,0.0769,13.0,0.0,44.3,13.94,9167542.0,,,,298000000.0,0,clean,
S100YI70,E02802,7433,listed,卸売業,伯東株式会社,"Hakuto Co.,Ltd.",2024-03-31,2024-06-25,代表取締役社長執行役員 宮下 環,13,12.0,1.0,0.076,0.0769,13.0,0.0,44.31,14.0,10720825.0,0.085,0.628,,291000000.0,0,clean,
S100YI71,E40145,291A,listed,サービス業,株式会社リスキル,Reskill Corp.,2026-03-31,2026-06-23,代表取締役社長 松田 航,7,6.0,1.0,0.14,0.1429,7.0,0.0,29.6,2.4,4273000.0,,,,35970000.0,0,clean,
S100YI76,E02802,7433,listed,卸売業,伯東株式会社,"Hakuto Co.,Ltd.",2025-03-31,2025-06-24,代表取締役社長執行役員 宮下 環,13,12.0,1.0,0.076,0.0769,13.0,0.0,44.25,13.17,9452042.0,0.098,0.628,,266000000.0,0,clean,
S100YI8R,E35516,4498,listed,情報・通信業,サイバートラスト株式会社,"Cybertrust Japan Co., Ltd.",2026-03-31,2026-06-23,代表取締役社長 CEO 北村 裕司,10,7.0,3.0,0.3,0.3,10.0,0.0,41.0,10.4,7376000.0,0.115,0.75,,292000000.0,0,clean,
