doc_id,sec_code,period_end,person_key,name_en,consolidated_pay_yen,voluntary_below_100m,on_board_at_filing
S100YF41,6963,2026-03-31,azuma-katsumi,Azuma Katsumi,112000000,0,1
S100YF47,6971,2026-03-31,yamaguchi-goro,Yamaguchi Goro,143000000,0,1
S100YF47,6971,2026-03-31,tanimoto-hideo,Tanimoto Hideo,159000000,0,1
S100YF57,4507,2026-03-31,teshirogi-isao,Teshirogi Isao,302000000,0,1
S100YF57,4507,2026-03-31,keller-john,Keller John,577000000,0,1
S100YF8Y,8411,2026-03-31,kihara-masahiro,Kihara Masahiro,256000000,0,1
S100YF8Y,8411,2026-03-31,imai-seiji,Imai Seiji,143000000,0,1
S100YF8Y,8411,2026-03-31,take-hidekatsu,Take Hidekatsu,120000000,0,1
S100YF8Y,8411,2026-03-31,sugawara-masayuki,Sugawara Masayuki,106000000,0,0
S100YFHS,9247,2026-03-31,mitsumoto-mamoru,Mitsumoto Mamoru,106000000,0,0
S100YAUO,4005,2026-03-31,iwata-keiichi,Iwata Keiichi,157000000,0,1
S100YAUO,4005,2026-03-31,mito-nobuaki,Mito Nobuaki,136000000,0,1
S100YAUO,4005,2026-03-31,niinuma-hiroshi,Niinuma Hiroshi,104000000,0,1
S100YC5C,8604,2026-03-31,nagai-koji,Nagai Koji,802000000,0,1
S100YC5C,8604,2026-03-31,okuda-kentaro,Okuda Kentaro,1644600000,0,1
S100YC5C,8604,2026-03-31,nakajima-yutaka,Nakajima Yutaka,928800000,0,1
S100YC5C,8604,2026-03-31,iiyama-toshiyasu,Iiyama Toshiyasu,584000000,0,0
S100YC5C,8604,2026-03-31,kitamura-takumi,Kitamura Takumi,290000000,0,0
S100YC5C,8604,2026-03-31,kato-sotaro,Kato Sotaro,280000000,0,0
S100YC5C,8604,2026-03-31,moriuchi-hiroyuki,Moriuchi Hiroyuki,300000000,0,0
S100YC5C,8604,2026-03-31,christopher-willcox,Christopher Willcox,2560200000,0,0
S100YDRV,6363,2026-03-31,gerald-ashe,Gerald Ashe,154000000,0,1
S100YDRV,6363,2026-03-31,alister-flett,Alister Flett,109000000,0,1
S100YDXD,1803,2026-03-31,inoue-kazuyuki,Inoue Kazuyuki,204000000,0,1
S100YDXD,1803,2026-03-31,shinmura-tatsuya,Shinmura Tatsuya,243000000,0,1
S100YDXD,1803,2026-03-31,ikeda-kentarou,Ikeda Kentarou,121000000,0,1
S100YDXD,1803,2026-03-31,sekiguchi-takeshi,Sekiguchi Takeshi,117000000,0,1
S100YE8K,1301,2026-03-31,inoue-makoto,Inoue Makoto,113000000,0,1
S100YE8L,4203,2026-03-31,fujiwara-kazuhiko,Fujiwara Kazuhiko,110000000,0,1
S100YE8L,4203,2026-03-31,kajiya-shinichi,Kajiya Shinichi,102000000,0,1
S100YECO,6448,2026-03-31,ikeda-kazufumi,Ikeda Kazufumi,103000000,0,1
S100YENT,7013,2026-03-31,mitsuoka-tsugio,Mitsuoka Tsugio,149000000,0,1
S100YENT,7013,2026-03-31,ide-hiroshi,Ide Hiroshi,159000000,0,1
S100YENT,7013,2026-03-31,kobayashi-jun,Kobayashi Jun,189000000,0,1
S100YEOO,8035,2026-03-31,kawai-toshiki,Kawai Toshiki,2050000000,0,1
S100YEOO,8035,2026-03-31,sasaki-sadao,Sasaki Sadao,725000000,0,1
S100YEOO,8035,2026-03-31,tahara-kazushi,Tahara Kazushi,222000000,0,1
S100YEWB,2897,2026-03-31,ando-koki,Ando Koki,534000000,0,1
S100YEWB,2897,2026-03-31,ando-noritaka,Ando Noritaka,403000000,0,1
S100YEXL,7593,2026-03-31,takahashi-kazuho,Takahashi Kazuho,202000000,0,1
S100YEYZ,9759,2026-03-31,imajo-yoshikazu,Imajo Yoshikazu,128000000,0,1
S100YF5H,3443,2026-03-31,kawada-tadahiro,Kawada Tadahiro,104000000,0,1
S100YF7M,5333,2026-03-31,oshima-taku,Oshima Taku,153000000,0,1
S100YF7M,5333,2026-03-31,kobayashi-shigeru,Kobayashi Shigeru,153000000,0,1
S100YF9D,7270,2025-03-31,osaki-atsushi,Osaki Atsushi,184000000,0,1
S100YF9D,7270,2025-03-31,nakamura-tomomi,Nakamura Tomomi,118000000,0,1
S100YF9D,7270,2025-03-31,hayata-fumiaki,Hayata Fumiaki,117000000,0,1
