# Municipality centroids: median of Geolonia Japanese-addresses (CC BY 4.0,
# https://github.com/geolonia/japanese-addresses, snapshot 2023-11-15).
# Attribution required wherever coordinates derived from this file are displayed.
code,pref,city,lat,lng
03507,岩手県,九戸郡洋野町,40.29774,141.68839
03524,岩手県,二戸郡一戸町,40.21163,141.29561
04101,宮城県,仙台市青葉区,38.27884,140.80036
04102,宮城県,仙台市宮城野区,38.27311,140.95374
04103,宮城県,仙台市若林区,38.22943,140.9395
04104,宮城県,仙台市太白区,38.21676,140.85837
04105,宮城県,仙台市泉区,38.32592,140.84698
04202,宮城県,石巻市,38.44677,141.31096
04203,宮城県,塩竈市,38.33028,141.03061
04205,宮城県,気仙沼市,38.8792,141.56601
04206,宮城県,白石市,37.99965,140.62019
04207,宮城県,名取市,38.16608,140.87688
04208,宮城県,角田市,38.00837,140.78154
04209,宮城県,多賀城市,38.29709,140.99078
04211,宮城県,岩沼市,38.113,140.85918
04212,宮城県,登米市,38.66602,141.2075
04213,宮城県,栗原市,38.7666,141.04668
04214,宮城県,東松島市,38.41594,141.17435
04215,宮城県,大崎市,38.57884,140.94989
04216,宮城県,富谷市,38.38533,140.89597
04301,宮城県,刈田郡蔵王町,38.09748,140.66835
04302,宮城県,刈田郡七ヶ宿町,38.00841,140.38003
04321,宮城県,柴田郡大河原町,38.0553,140.71648
04322,宮城県,柴田郡村田町,38.1226,140.73252
04323,宮城県,柴田郡柴田町,38.07039,140.78867
04324,宮城県,柴田郡川崎町,38.18314,140.63879
04341,宮城県,伊具郡丸森町,37.90631,140.76118
04361,宮城県,亘理郡亘理町,38.04646,140.87257
04362,宮城県,亘理郡山元町,37.95806,140.88308
04401,宮城県,宮城郡松島町,38.39587,141.07241
04404,宮城県,宮城郡七ヶ浜町,38.30068,141.06044
04406,宮城県,宮城郡利府町,38.3315,140.98008
04421,宮城県,黒川郡大和町,38.43258,140.90285
04422,宮城県,黒川郡大郷町,38.41683,141.02051
04424,宮城県,黒川郡大衡村,38.46171,140.88897
04444,宮城県,加美郡色麻町,38.54482,140.81658
04445,宮城県,加美郡加美町,38.57938,140.75381
04501,宮城県,遠田郡涌谷町,38.54285,141.13777
04505,宮城県,遠田郡美里町,38.55129,141.05324
04581,宮城県,牡鹿郡女川町,38.43877,141.44405
04606,宮城県,本吉郡南三陸町,38.68009,141.44807
05201,秋田県,秋田市,39.71491,140.12873
05202,秋田県,能代市,40.19589,140.0467
05203,秋田県,横手市,39.29711,140.51
05204,秋田県,大館市,40.25979,140.56775
05206,秋田県,男鹿市,39.93059,139.84196
05207,秋田県,湯沢市,39.16575,140.48169
05209,秋田県,鹿角市,40.2356,140.78879
05210,秋田県,由利本荘市,39.36925,140.06709
05211,秋田県,潟上市,39.86606,140.07168
05212,秋田県,大仙市,39.47821,140.48274
