# English labels for the standard EDINET taxonomy elements,
# copied from the FSA's published element and account lists:
#   https://www.fsa.go.jp/search/20211109/  (1e, 1f, 1g)
#   https://www.fsa.go.jp/search/20221108/  (1e, 1f, 1g)
#   https://www.fsa.go.jp/search/20231211/  (1e, 1f, 1g)
#   https://www.fsa.go.jp/search/20241112/  (1e, 1f, 1g)
#   https://www.fsa.go.jp/search/20251111/  (1e, 1f, 1g)
# Rebuild with: python -m equity.taxonomy_labels --edition <YYYYMMDD>
element,label_en
jppfs_cor:VehiclesNetPPELEA,"Vehicles, net"
jppfs_cor:VehiclesPPECMD,Vehicles
jppfs_cor:VehiclesPPELEA,Vehicles
jppfs_cor:VehiclesToolsFurnitureAndFixtures,"Vehicles, tools, furniture and fixtures"
jppfs_cor:VehiclesToolsFurnitureAndFixturesNet,"Vehicles, tools, furniture and fixtures, net"
jppfs_cor:Vessels,Vessels
jppfs_cor:VesselsAndVehiclesEDU,Vessels and vehicles
jppfs_cor:VesselsAndVehiclesNetEDU,"Vessels and vehicles, net"
jppfs_cor:VesselsAndWaterDeliveryEquipmentPPEAbstract,Vessels and water delivery equipment
jppfs_cor:VesselsNet,"Vessels, net"
jppfs_cor:VoiceCommunicationsOROILTelecommunications,Voice communications
jppfs_cor:VoluntaryRetainedEarnings,Voluntary retained earnings
jppfs_cor:VoluntaryRetainedEarningsINV,Voluntary retained earnings
jppfs_cor:VoluntaryRetainedEarningsINVAbstract,Voluntary retained earnings
jppfs_cor:VoluntaryRetainedEarningsINVMember,Voluntary retained earnings
jppfs_cor:VoluntaryRetainedEarningsMember,Voluntary retained earnings
jppfs_cor:WagesSGA,Wages
jppfs_cor:WarehouseBusinessExpensesOtherBusinessRevenueWAT,Warehouse business expenses
jppfs_cor:WarehouseIncomeRevOA,Warehouse income
jppfs_cor:WarehousingExpensesSGA,Storage costs
jppfs_cor:WarehousingFeeIncomeRevOA,Warehousing fee income
jppfs_cor:WarrantCAFND,Investments in share acquisition rights
jppfs_cor:WaterRight,Water right
jppfs_cor:WelfareExpensesOESPF,Welfare expenses
jppfs_cor:WelfareExpensesSGA,Welfare expenses
jppfs_cor:WelfareFacilitiesExpensesOERWY,Welfare facilities expenses
jppfs_cor:WorkInProcess,Work in process
jppfs_cor:WorkInProcessAndPartlyFinishedConstructionCAAbstract,Work in process and partly-finished work
jppfs_cor:WrittenOffOfLoansOEBNK,Write-off of loans
jppfs_cor:YearToQuarterEndConsolidatedStatementOfComprehensiveIncomeHeading,Year to quarter end consolidated statement of comprehensive income
jppfs_cor:YearToQuarterEndConsolidatedStatementOfComprehensiveIncomeSingleStatementHeading,Year to quarter end consolidated statement of comprehensive income
jppfs_cor:YearToQuarterEndConsolidatedStatementOfIncomeHeading,Year to quarter end consolidated statement of income
jppfs_cor:YearToQuarterEndStatementOfIncomeHeading,Year to quarter end statement of income
jpsps-esr_cor:AddressOfRegisteredHeadquarterCoverPage,Address of registered headquarter
jpsps-esr_cor:BodyOfReportHeading,Body of report
jpsps-esr_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesExtraordinarySecuritiesReportHeading,Current Report under Cabinet Office Ordinance on Disclosure of Information on Specified Securities
jpsps-esr_cor:CancelationOfRegistrationOrOrderForSuspensionOfBusinessEtcTextBlock,Cancelation of registration or order for suspension of business
jpsps-esr_cor:ChangesInMajorPartiesInvolvedTextBlock,Determination on or fact of changes in major parties involved
jpsps-esr_cor:CommencementOrResolutionOfLitigationTextBlock,Filing or settlement of litigation
jpsps-esr_cor:CoverPageHeading,Cover page
jpsps-esr_cor:DecisionOnAbsorptionTypeMergerOfInvestmentCorporationTextBlock,Determination on absorption-type merger of investment corporation
jpsps-esr_cor:DecisionOnConsolidationTypeMergerOfInvestmentCorporationTextBlock,Determination on consolidation-type merger of investment corporation
jpsps-esr_cor:DecisionOnDissolutionEtcTextBlock,"Determination on dissolution, etc."
jpsps-esr_cor:DocumentTitleCoverPage,Document title
jpsps-esr_cor:EndOfTrustAccountingPeriodWithinSpecifiedPeriodTextBlock,Report for trust accounting period ending within specified period
jpsps-esr_cor:EventWithSignificantEffectsOnFinancialPositionBusinessPerformanceAndCashFlowsTextBlock,"Event with significant effects on financial position, operating results and cash flows"
jpsps-esr_cor:FilingDateCoverPage,Filing date
jpsps-esr_cor:FundNameCoverPage,Fund name
jpsps-esr_cor:IssuerNameCoverPage,Issuer name
jpsps-esr_cor:LikelihoodOfUncollectibleOrDelinquentAccountsTextBlock,Receivables likely to become uncollectible or delinquent
jpsps-esr_cor:MajorChangesInInvestmentManagementPolicyEtcTextBlock,"Material changes in investment management policy, organization and framework of investment, or other significant matters related to specified securities"
jpsps-esr_cor:MergerOfInvestmentTrustTextBlock,Merger of investment trust
jpsps-esr_cor:NameOfContactPersonCoverPage,Name of contact person
jpsps-esr_cor:PetitionEtcForCommencementOfBankruptcyProceedingsTextBlock,Petition for commencement of bankruptcy proceedings
jpsps-esr_cor:PlaceForPublicInspectionCoverPageTextBlock,Place for public inspection
jpsps-esr_cor:PlaceOfContactCoverPage,Place of contact
jpsps-esr_cor:PlaceOfFilingCoverPage,Place of filing
jpsps-esr_cor:PublicOfferingOrSecondaryDistributionOfSpecifiedSecuritiesOutsideJapanTextBlock,Public offering or secondary distribution of specified securities outside Japan
jpsps-esr_cor:ReasonForFilingHeading,Reason for filing
jpsps-esr_cor:ReasonForFilingTextBlock,Reason for filing
jpsps-esr_cor:SignificantDisasterTextBlock,Significant disaster
jpsps-esr_cor:TelephoneNumberCoverPage,Telephone number
jpsps-esr_cor:TitleAndNameOfRepresentativeCoverPage,Title and name of representative
jpsps-sbr_cor:AcquisitionsOfTreasurySharesHeading,Acquisitions of treasury shares
jpsps-sbr_cor:AcquisitionsOfTreasurySharesTextBlock,Acquisitions of treasury shares
jpsps-sbr_cor:AddressOfRegisteredHeadquarterCoverPage,Address of registered headquarter
jpsps-sbr_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo253ShareBuybackReportHeading,"Disclosure of Information, etc. on Specified Securities Form No. 25-3 Share Buyback Report"
jpsps-sbr_cor:ClauseOfStipulationCoverPage,Clause of stipulation
jpsps-sbr_cor:CoverPageHeading,Cover page
jpsps-sbr_cor:DisposalsOfTreasurySharesHeading,Disposals of treasury shares
jpsps-sbr_cor:DisposalsOfTreasurySharesTextBlock,Disposals of treasury shares
jpsps-sbr_cor:DocumentTitleCoverPage,Document title
jpsps-sbr_cor:FilingDateCoverPage,Filing date
jpsps-sbr_cor:HoldingOfTreasurySharesHeading,Holding of treasury shares
jpsps-sbr_cor:HoldingOfTreasurySharesTextBlock,Holding of treasury shares
jpsps-sbr_cor:IssuerNameCoverPage,Issuer name
jpsps-sbr_cor:NameOfContactPersonCoverPage,Name of contact person
jpsps-sbr_cor:PlaceForPublicInspectionCoverPageTextBlock,Place for public inspection
jpsps-sbr_cor:PlaceOfFilingCoverPage,Place of filing
jpsps-sbr_cor:ReportingPeriodCoverPage,Reporting period
jpsps-sbr_cor:TelephoneNumberCoverPage,Telephone number
jpsps-sbr_cor:TitleAndNameOfRepresentativeCoverPage,Title and name of representative
jpsps_cor:AccountingPeriodCoverPage,Accounting period
jpsps_cor:AccountingPeriodHeading,Accounting period
jpsps_cor:AccountingPeriodTextBlock,Accounting period
jpsps_cor:ActualPerformanceHeading,Actual performance
jpsps_cor:AdditionalDEIForDeemedRegistrationStatementAbstract,Additional DEI for deemed registration statement
jpsps_cor:AdditionalInformationAboutInvestmentCorporationHeading,Additional information about investment corporation
jpsps_cor:AdditionalSupplementaryInformationHeading,Additional supplementary information
jpsps_cor:AdditionalSupplementaryInformationTextBlock,Additional supplementary information
jpsps_cor:AddressOfRegisteredHeadquarterCoverPage,Address of registered head office
jpsps_cor:AdministrationAndOperationHeading,Administration and operation
jpsps_cor:AdministrationFeesAndChargesHeading,Administration fees and charges
jpsps_cor:AdministrationFeesAndChargesTextBlock,Administration fees and charges
jpsps_cor:AdministratorOfInvestmentCorporationBondsHeading,Administrator of investment corporation bonds
jpsps_cor:AdministratorOfInvestmentCorporationBondsTextBlock,Administrator of investment corporation bonds
jpsps_cor:AmendmentReportHeading,Amendment report
jpsps_cor:AmendmentReportTextBlock,Amendment report
jpsps_cor:AmountOfDomesticInvestmentTrustBeneficiaryCertificateToRegisterForOfferingOrDistributionCoverPageTextBlock,Amount of domestic investment trust beneficiary certificate to register for offering or distribution
jpsps_cor:AmountOfEachOfInvestmentCorporationBondsHeading,Amount of each of investment corporation bonds
jpsps_cor:AmountOfEachOfInvestmentCorporationBondsTextBlock,Amount of each of investment corporation bonds
jpsps_cor:AmountOfOfferingOrDistributionByThisRegistrationCoverPageTextBlock,Amount of offering or distribution by this registration
jpsps_cor:AmountOfPaymentWhenSubscriptionRightToShareOfInvestmentCorporationIsExercisedHeading,Amount of payment when investment unit acquisition right is exercised
jpsps_cor:AmountOfPaymentWhenSubscriptionRightToShareOfInvestmentCorporationIsExercisedTextBlock,Amount of payment when investment unit acquisition right is exercised
jpsps_cor:AmountOfStatedCapitalOverviewOfAssetManagementCompanyHeading,Amount of stated capital
jpsps_cor:AmountOfStatedCapitalOverviewOfAssetManagementCompanyTextBlock,Amount of stated capital
jpsps_cor:AmountOfStatedCapitalOverviewOfInvestmentTrustManagementCompanyEtcHeading,Amount of stated capital
jpsps_cor:AmountOfStatedCapitalOverviewOfInvestmentTrustManagementCompanyEtcTextBlock,Amount of stated capital
jpsps_cor:AnnexedDetailedSchedulesHeading,Annexed detailed schedules
jpsps_cor:AnnexedDetailedSchedulesTextBlock,Annexed detailed schedules
jpsps_cor:AnnualSecuritiesReportAmendmentFlagDeemedRegistrationStatementDEI,Annual securities report amendment flag
jpsps_cor:AnnualSecuritiesReportAndAttachedDocumentsHeading,Annual securities report and attached documents
jpsps_cor:AnnualSecuritiesReportAndAttachedDocumentsTextBlock,Annual securities report and attached documents
jpsps_cor:AnnualSecuritiesReportHeading,Annual securities report
jpsps_cor:ApplicationFeeOverviewOfFundHeading,Application fees
jpsps_cor:ApplicationFeeOverviewOfFundTextBlock,Application fees
jpsps_cor:ApplicationFeePublicOfferingOfDomesticInvestmentSecuritiesHeading,Application fees
jpsps_cor:ApplicationFeePublicOfferingOfDomesticInvestmentSecuritiesTextBlock,Application fees
jpsps_cor:ApplicationFeeSecondaryDistributionOfDomesticInvestmentSecuritiesHeading,Application fees
jpsps_cor:ApplicationFeeSecondaryDistributionOfDomesticInvestmentSecuritiesTextBlock,Application fees
jpsps_cor:ApplicationFeeSecurityInformationHeading,Application fees
jpsps_cor:ApplicationFeeSecurityInformationTextBlock,Application fees
jpsps_cor:ApplicationMoneyInvestmentCorporationBondsOtherThanShortTermInvestmentCorporationBondsHeading,Application money
jpsps_cor:ApplicationMoneyInvestmentCorporationBondsOtherThanShortTermInvestmentCorporationBondsTextBlock,Application money
jpsps_cor:ApplicationMoneyPublicOfferingOfDomesticInvestmentSecuritiesHeading,Application money
jpsps_cor:ApplicationMoneyPublicOfferingOfDomesticInvestmentSecuritiesTextBlock,Application money
jpsps_cor:ApplicationMoneySecondaryDistributionOfDomesticInvestmentSecuritiesHeading,Application money
jpsps_cor:ApplicationMoneySecondaryDistributionOfDomesticInvestmentSecuritiesTextBlock,Application money
jpsps_cor:ApplicationPeriodInvestmentCorporationBondsOtherThanShortTermInvestmentCorporationBondsHeading,Application period
jpsps_cor:ApplicationPeriodInvestmentCorporationBondsOtherThanShortTermInvestmentCorporationBondsTextBlock,Application period
jpsps_cor:ApplicationPeriodPublicOfferingOfDomesticInvestmentSecuritiesHeading,Application period
jpsps_cor:ApplicationPeriodPublicOfferingOfDomesticInvestmentSecuritiesTextBlock,Application period
jpsps_cor:ApplicationPeriodSecondaryDistributionOfDomesticInvestmentSecuritiesHeading,Application period
jpsps_cor:ApplicationPeriodSecondaryDistributionOfDomesticInvestmentSecuritiesTextBlock,Application period
jpsps_cor:ApplicationPeriodSecurityInformationHeading,Application period
jpsps_cor:ApplicationPeriodSecurityInformationTextBlock,Application period
jpsps_cor:ApplicationUnitPublicOfferingOfDomesticInvestmentSecuritiesHeading,Application unit
jpsps_cor:ApplicationUnitPublicOfferingOfDomesticInvestmentSecuritiesTextBlock,Application unit
jpsps_cor:ApplicationUnitSecondaryDistributionOfDomesticInvestmentSecuritiesHeading,Application unit
jpsps_cor:ApplicationUnitSecondaryDistributionOfDomesticInvestmentSecuritiesTextBlock,Application unit
jpsps_cor:ApplicationUnitSecurityInformationHeading,Application unit
jpsps_cor:ApplicationUnitSecurityInformationTextBlock,Application unit
jpsps_cor:AttachedInformationHeading,Attached information
jpsps_cor:AttachedInformationTextBlock,Attached information
jpsps_cor:BalanceSheetFinancialHighlightsHeading,Balance sheet
jpsps_cor:BalanceSheetFinancialHighlightsTextBlock,Balance sheet
jpsps_cor:BalanceSheetFinancialInformationOfInvestmentTrustManagementCompanyEtcHeading,Balance sheet
jpsps_cor:BalanceSheetFinancialInformationOfInvestmentTrustManagementCompanyEtcTextBlock,Balance sheet
jpsps_cor:BalanceSheetTextBlock,Balance sheet
jpsps_cor:BookEntryTransferInstitutionInvestmentCorporationBondsOtherThanShortTermInvestmentCorporationBondsHeading,Book-entry transfer institution
jpsps_cor:BookEntryTransferInstitutionInvestmentCorporationBondsOtherThanShortTermInvestmentCorporationBondsTextBlock,Book-entry transfer institution
jpsps_cor:BookEntryTransferInstitutionPublicOfferingOfDomesticInvestmentSecuritiesHeading,Book-entry transfer institution
jpsps_cor:BookEntryTransferInstitutionPublicOfferingOfDomesticInvestmentSecuritiesTextBlock,Book-entry transfer institution
jpsps_cor:BookEntryTransferInstitutionSecondaryDistributionOfDomesticInvestmentSecuritiesHeading,Book-entry transfer institution
jpsps_cor:BookEntryTransferInstitutionSecondaryDistributionOfDomesticInvestmentSecuritiesTextBlock,Book-entry transfer institution
jpsps_cor:BookEntryTransferInstitutionSecurityInformationHeading,Book-entry transfer institution
jpsps_cor:BookEntryTransferInstitutionSecurityInformationTextBlock,Book-entry transfer institution
jpsps_cor:BookEntryTransferInstitutionShortTermInvestmentCorporationBondsHeading,Book-entry transfer institution
jpsps_cor:BookEntryTransferInstitutionShortTermInvestmentCorporationBondsTextBlock,Book-entry transfer institution
jpsps_cor:BookEntryTransferInstitutionSubscriptionRightsToSharesOfInvestmentCorporationHeading,Book-entry transfer institution
jpsps_cor:BookEntryTransferInstitutionSubscriptionRightsToSharesOfInvestmentCorporationTextBlock,Book-entry transfer institution
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo103SemiannualSecuritiesReportHeading,"Disclosure of Information, etc. on Specified Securities Form No. 10-3 Semi-annual Securities Report"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo10SemiannualSecuritiesReportHeading,"Disclosure of Information, etc. on Specified Securities Form No. 10 Semi-annual Securities Report"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo112SemiannualSecuritiesReportHeading,"Disclosure of Information, etc. on Specified Securities Form No. 11-2 Semi-annual Securities Report"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo114SemiannualSecuritiesReportHeading,"Disclosure of Information, etc. on Specified Securities Form No. 11-4 Semi-annual Securities Report"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo125SemiannualSecuritiesReportHeading,"Disclosure of Information, etc. on Specified Securities Form No. 12-5 Semi-annual Securities Report"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo12SemiannualSecuritiesReportHeading,"Disclosure of Information, etc. on Specified Securities Form No. 12 Semi-annual Securities Report"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo153ShelfRegistrationStatementHeading,"Disclosure of Information, etc. on Specified Securities Form No. 15-3 Shelf Registration Statement"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo15ShelfRegistrationStatementHeading,"Disclosure of Information, etc. on Specified Securities Form No. 15 Shelf Registration Statement"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo21ShelfRegistrationSupplementsHeading,"Disclosure of Information, etc. on Specified Securities Form No. 21 Shelf Registration Supplements"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo432SecuritiesRegistrationStatementHeading,"Disclosure of Information, etc. on Specified Securities Form No. 4-3-2 Securities Registration Statement"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo433SecuritiesRegistrationStatementHeading,"Disclosure of Information, etc. on Specified Securities Form No. 4-3-3 Securities Registration Statement"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo43SecuritiesRegistrationStatementHeading,"Disclosure of Information, etc. on Specified Securities Form No. 4-3 Securities Registration Statement"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo4SecuritiesRegistrationStatementHeading,"Disclosure of Information, etc. on Specified Securities Form No. 4 Securities Registration Statement"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo52SecuritiesRegistrationStatementHeading,"Disclosure of Information, etc. on Specified Securities Form No. 5-2 Securities Registration Statement"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo54SecuritiesRegistrationStatementHeading,"Disclosure of Information, etc. on Specified Securities Form No. 5-4 Securities Registration Statement"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo65SecuritiesRegistrationStatementHeading,"Disclosure of Information, etc. on Specified Securities Form No. 6-5 Securities Registration Statement"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo67AndNo7AnnualSecuritiesReportAlsoDeemedAsSecuritiesRegistrationStatementHeading,"Disclosure of Information, etc. on Specified Securities Form No. 6-7 and No. 7 Annual securities report (Also deemed as Securities registration statement)"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo69AndNo9AnnualSecuritiesReportAlsoDeemedAsSecuritiesRegistrationStatementHeading,"Disclosure of Information, etc. on Specified Securities Form No. 6-9 and No. 9 Annual securities report (Also deemed as Securities registration statement)"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo6SecuritiesRegistrationStatementHeading,"Disclosure of Information, etc. on Specified Securities Form No. 6 Securities Registration Statement"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo73AnnualSecuritiesReportHeading,"Disclosure of Information, etc. on Specified Securities Form No. 7-3 Annual Securities Report"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo7AnnualSecuritiesReportHeading,"Disclosure of Information, etc. on Specified Securities Form No. 7 Annual Securities Report"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo82AnnualSecuritiesReportHeading,"Disclosure of Information, etc. on Specified Securities Form No. 8-2 Annual Securities Report"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo84AnnualSecuritiesReportHeading,"Disclosure of Information, etc. on Specified Securities Form No. 8-4 Annual Securities Report"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo95AnnualSecuritiesReportHeading,"Disclosure of Information, etc. on Specified Securities Form No. 9-5 Annual Securities Report"
jpsps_cor:CabinetOfficeOrdinanceOnDisclosureOfInformationEtcOnSpecifiedSecuritiesFormNo9AnnualSecuritiesReportHeading,"Disclosure of Information, etc. on Specified Securities Form No. 9 Annual Securities Report"
jpsps_cor:CalculationOfNetAssetsHeading,Calculation of net assets
jpsps_cor:CalculationOfNetAssetsTextBlock,Calculation of net assets
jpsps_cor:ChangesInNetAssetsEtcHeading,"Changes in net assets, etc."
jpsps_cor:ChangesInNetAssetsEtcTextBlock,"Changes in net assets, etc."
jpsps_cor:ChangesInNetAssetsHeading,Changes in net assets
jpsps_cor:ChangesInNetAssetsTextBlock,Changes in net assets
jpsps_cor:ComponentsOfRealEstateInvestmentsHeading,Components of real estate investments
jpsps_cor:ComponentsOfRealEstateInvestmentsTextBlock,Components of real estate investments
jpsps_cor:ContentsOfShelfRegistrationStatementCoverPageAbstract,Contents of shelf registration statement
jpsps_cor:CoverPageHeading,Cover page
jpsps_cor:CurrentStatusOfFundHeading,Current status of fund
jpsps_cor:CurrentStatusOfInvestmentCorporationHeading,Current status of investment corporation
jpsps_cor:CustodianAgentAndPlaceOfPaymentForExerciseOfSubscriptionRightsToSharesOfInvestmentCorporationHeading,"Custodian, agent, and place of payment for exercise of investment unit acquisition rights"
jpsps_cor:CustodianAgentAndPlaceOfPaymentForExerciseOfSubscriptionRightsToSharesOfInvestmentCorporationTextBlock,"Custodian, agent, and place of payment for exercise of investment unit acquisition rights"
jpsps_cor:CustodyHeading,Custody
jpsps_cor:CustodyTextBlock,Custody
jpsps_cor:DateAndMethodOfInterestPaymentHeading,Date and method of interest payment
jpsps_cor:DateAndMethodOfInterestPaymentTextBlock,Date and method of interest payment
jpsps_cor:DateAndMethodOfRedemptionHeading,Date and method of redemption
jpsps_cor:DateAndMethodOfRedemptionTextBlock,Date and method of redemption
jpsps_cor:DateOfAllotmentSubscriptionRightsToSharesOfInvestmentCorporationHeading,Date of allotment
jpsps_cor:DateOfAllotmentSubscriptionRightsToSharesOfInvestmentCorporationTextBlock,Date of allotment
jpsps_cor:DescriptionOfBackupLineHeading,Description of backup line
jpsps_cor:DescriptionOfBackupLineTextBlock,Description of backup line
jpsps_cor:DescriptionOfBusinessAndOverviewOfOperationOverviewOfAssetManagementCompanyHeading,Description of business and overview of operation
jpsps_cor:DescriptionOfBusinessAndOverviewOfOperationOverviewOfAssetManagementCompanyTextBlock,Description of business and overview of operation
jpsps_cor:DescriptionOfBusinessAndOverviewOfOperationOverviewOfInvestmentTrustManagementCompanyEtcHeading,Description of business and overview of operation
jpsps_cor:DescriptionOfBusinessAndOverviewOfOperationOverviewOfInvestmentTrustManagementCompanyEtcTextBlock,Description of business and overview of operation
jpsps_cor:DescriptionOfBusinessAndSummaryOfOperationOverviewOfAssetManagementCompanyHeading,Description of business and summary of operation
jpsps_cor:DescriptionOfBusinessAndSummaryOfOperationOverviewOfAssetManagementCompanyTextBlock,Description of business and summary of operation
jpsps_cor:DescriptionOfBusinessAndSummaryOfOperationOverviewOfInvestmentTrustManagementCompanyEtcHeading,Description of business and summary of operation
jpsps_cor:DescriptionOfBusinessAndSummaryOfOperationOverviewOfInvestmentTrustManagementCompanyEtcTextBlock,Description of business and summary of operation
jpsps_cor:DetailsOfInvestmentCorporationHeading,Details of investment corporation
jpsps_cor:DocumentTitleAnnualSecuritiesReportCoverPage,Document title
jpsps_cor:DocumentTitleCoverPage,Document title
jpsps_cor:DocumentTitleParticularsOfPublicOfferingEtcCoverPage,Document title
jpsps_cor:DomesticInvestmentSecuritiesOtherThanInvestmentCorporationBondsHeading,Domestic investment securities other than investment unit acquisition rights and bonds of investment corporation
jpsps_cor:DomesticInvestmentSecuritiesOtherThanInvestmentUnitAcquisitionRightsAndInvestmentCorporationBondsTextBlock,Domestic investment securities other than investment unit acquisition rights and investment corporation bonds
jpsps_cor:DueDateOfPaymentHeading,Due date of payment
jpsps_cor:DueDateOfPaymentInvestmentCorporationBondsOtherThanShortTermInvestmentCorporationBondsHeading,Due date of payment
jpsps_cor:DueDateOfPaymentInvestmentCorporationBondsOtherThanShortTermInvestmentCorporationBondsTextBlock,Due date of payment
jpsps_cor:DueDateOfPaymentPublicOfferingOfDomesticInvestmentSecuritiesHeading,Due date of payment
jpsps_cor:DueDateOfPaymentPublicOfferingOfDomesticInvestmentSecuritiesTextBlock,Due date of payment
jpsps_cor:DueDateOfPaymentSecurityInformationHeading,Due date of payment
jpsps_cor:DueDateOfPaymentSecurityInformationTextBlock,Due date of payment
jpsps_cor:DueDateOfPaymentTextBlock,Due date of payment
jpsps_cor:DurationOfInvestmentCorporationHeading,Duration of investment corporation
jpsps_cor:DurationOfInvestmentCorporationTextBlock,Duration of investment corporation
jpsps_cor:EffectiveDateContentsOfShelfRegistrationStatementCoverPage,Effective date
jpsps_cor:EndOfPeriodOfIssueContentsOfShelfRegistrationStatementCoverPage,End of period of issue
jpsps_cor:ExercisePeriodOfSubscriptionRightsToSharesOfInvestmentCorporationHeading,Exercise period of investment unit acquisition rights
jpsps_cor:ExercisePeriodOfSubscriptionRightsToSharesOfInvestmentCorporationTextBlock,Exercise period of investment unit acquisition rights
jpsps_cor:ExtraordinarySecuritiesReportHeading,Current reports
jpsps_cor:ExtraordinarySecuritiesReportTextBlock,Current reports
jpsps_cor:FeaturesOfFundHeading,Features of fund
jpsps_cor:FeesChargesAndTaxesHeading,"Fees, charges, and taxes"
jpsps_cor:FilingDateContentsOfShelfRegistrationStatementCoverPage,Filing date
jpsps_cor:FilingDateCoverPage,Filing date
jpsps_cor:FinancialHighlightsHeading,Financial highlights
jpsps_cor:FinancialInformationAboutSpecificTrustPropertyHeading,Financial information about specific trust property
jpsps_cor:FinancialInformationAboutTrustPropertyHeading,Financial information about trust property
jpsps_cor:FinancialInformationHeading,Financial information
jpsps_cor:FinancialInformationOfFundHeading,Financial information of fund
jpsps_cor:FinancialInformationOfFundTextBlock,Financial information of fund
jpsps_cor:FinancialInformationOfInvestmentCorporationHeading,Financial information of investment corporation
jpsps_cor:FinancialInformationOfInvestmentCorporationTextBlock,Financial information of investment corporation
jpsps_cor:FinancialInformationOfInvestmentTrustManagementCompanyEtcHeading,"Financial information of investment trust management company, etc."
jpsps_cor:FinancialInformationOfInvestmentTrustManagementCompanyEtcTextBlock,"Financial information of investment trust management company, etc."
jpsps_cor:FinancialInformationOfPartnershipEtcHeading,"Financial information of partnership, etc."
jpsps_cor:FinancialInstitutionProvidingBackupLineHeading,Financial institution providing backup line
jpsps_cor:FinancialInstitutionProvidingBackupLineTextBlock,Financial institution providing backup line
jpsps_cor:FinancialStatementsHeading,Financial statements
jpsps_cor:FundHistoryHeading,Fund history
jpsps_cor:FundHistoryTextBlock,Fund history
jpsps_cor:FundInformationHeading,Fund information
jpsps_cor:FundNameCoverPage,Fund name
jpsps_cor:FundNameHeading,Fund name
jpsps_cor:FundNameTextBlock,Fund name
jpsps_cor:FundSchemeHeading,Fund scheme
jpsps_cor:FundSchemeTextBlock,Fund scheme
jpsps_cor:HistoricalRecordsOfInceptionsAndCancellationsHeading,Historical records of inceptions and cancellations
jpsps_cor:HistoricalRecordsOfInceptionsAndCancellationsTextBlock,Historical records of inceptions and cancellations
jpsps_cor:HistoricalRecordsOfProfitDistributionHeading,Historical records of profit distribution
jpsps_cor:HistoricalRecordsOfProfitDistributionTextBlock,Historical records of profit distribution
jpsps_cor:HistoricalRecordsOfROEHeading,Historical records of ROE
jpsps_cor:HistoricalRecordsOfROETextBlock,Historical records of ROE
jpsps_cor:HistoricalRecordsOfReturnRatioHeading,Historical records of return ratio
jpsps_cor:HistoricalRecordsOfReturnRatioTextBlock,Historical records of return ratio
