# English (Hepburn) municipality names, keyed on the five-digit municipality
# code (全国地方公共団体コード).
#
# city_en / pref_en come from Japan Post's romanized zipcode data (KEN_ALL_ROME,
# downloaded 2026-08-28, https://www.post.japanpost.jp/zipcode/download.html);
# Hamamatsu's pre-2024 wards romanized manually.
#
# city_ja is the same municipality's Japanese name, joined on the code from
# equity/gazetteer_municipalities.csv (Geolonia japanese-addresses, CC BY 4.0).
# It is here so a source that names a municipality in Japanese but gives no
# code -- the Tourism Agency's accommodation survey, for one -- can still be
# matched to a published romanization instead of one invented here.
#
# Aggregate rows (prefecture totals, designated-city totals, 郡 subtotals) are
# NOT in this file: they are derived from their members in app/place_en.py.
code,city_en,pref_en,city_ja
02387,Kitatsugaru-gun Nakadomari-machi,Aomori,北津軽郡中泊町
02401,Kamikita-gun Noheji-machi,Aomori,上北郡野辺地町
02402,Kamikita-gun Shichinohe-machi,Aomori,上北郡七戸町
02405,Kamikita-gun Rokunohe-machi,Aomori,上北郡六戸町
02406,Kamikita-gun Yokohama-machi,Aomori,上北郡横浜町
02408,Kamikita-gun Tohoku-machi,Aomori,上北郡東北町
02411,Kamikita-gun Rokkasho-mura,Aomori,上北郡六ヶ所村
02412,Kamikita-gun Oirase-cho,Aomori,上北郡おいらせ町
02423,Shimokita-gun Oma-machi,Aomori,下北郡大間町
02424,Shimokita-gun Higashidori-mura,Aomori,下北郡東通村
02425,Shimokita-gun Kazamaura-mura,Aomori,下北郡風間浦村
02426,Shimokita-gun Sai-mura,Aomori,下北郡佐井村
02441,Sannohe-gun Sannohe-machi,Aomori,三戸郡三戸町
02442,Sannohe-gun Gonohe-machi,Aomori,三戸郡五戸町
02443,Sannohe-gun Takko-machi,Aomori,三戸郡田子町
02445,Sannohe-gun Nambu-cho,Aomori,三戸郡南部町
02446,Sannohe-gun Hashikami-cho,Aomori,三戸郡階上町
02450,Sannohe-gun Shingo-mura,Aomori,三戸郡新郷村
03201,Morioka-shi,Iwate,盛岡市
03202,Miyako-shi,Iwate,宮古市
03203,Ofunato-shi,Iwate,大船渡市
03205,Hanamaki-shi,Iwate,花巻市
03206,Kitakami-shi,Iwate,北上市
03207,Kuji-shi,Iwate,久慈市
03208,Tono-shi,Iwate,遠野市
03209,Ichinoseki-shi,Iwate,一関市
03210,Rikuzentakata-shi,Iwate,陸前高田市
03211,Kamaishi-shi,Iwate,釜石市
03213,Ninohe-shi,Iwate,二戸市
